open_time,close_time,O,H,L,C,V_Q,V_C
2017-12-17 12:45:00,2017-12-17 12:59:59.999000,18844.26,18970.0,18812.37,18875.68,2080878.02987281,110.333286
2017-12-17 13:00:00,2017-12-17 13:14:59.999000,18969.11,19088.99,18875.41,18999.97,1889168.61551222,99.593595
2017-12-17 13:15:00,2017-12-17 13:29:59.999000,19000.0,19099.1,18970.05,19000.0,2150679.02761436,113.077149
2017-12-17 13:30:00,2017-12-17 13:44:59.999000,19000.0,19199.0,18970.0,19181.0,1230825.90899936,64.473014
2017-12-17 13:45:00,2017-12-17 13:59:59.999000,19180.0,19222.21,19156.0,19168.5,1604151.35972208,83.675251
2017-12-17 14:00:00,2017-12-17 14:14:59.999000,19166.5,19200.0,19055.05,19162.0,2073490.15852757,108.328031
2017-12-17 14:15:00,2017-12-17 14:29:59.999000,19178.0,19222.21,19162.0,19200.0,1189181.47270941,61.957453
2017-12-17 14:30:00,2017-12-17 14:44:59.999000,19190.0,19200.0,19100.08,19174.99,1354025.18959177,70.624072
2017-12-17 14:45:00,2017-12-17 14:59:59.999000,19174.99,19222.22,19112.0,19222.22,1530321.28629655,79.810386
2017-12-17 15:00:00,2017-12-17 15:14:59.999000,19222.22,19350.0,19201.0,19350.0,1777489.52276988,92.139255
2017-12-17 15:15:00,2017-12-17 15:29:59.999000,19350.01,19420.0,19280.5,19400.0,1409077.27587743,72.77109
2017-12-17 15:30:00,2017-12-17 15:44:59.999000,19408.99,19480.53,19380.0,19426.0,1777045.45703101,91.478087
2017-12-17 15:45:00,2017-12-17 15:59:59.999000,19425.04,19495.0,19424.2,19462.98,1476572.35897368,75.918594
2017-12-17 16:00:00,2017-12-17 16:14:59.999000,19495.0,19497.97,19440.51,19478.84,1423918.95838487,73.131418
2017-12-17 16:15:00,2017-12-17 16:29:59.999000,19465.0,19500.0,19444.0,19447.76,1311122.198474,67.378025
2017-12-17 16:30:00,2017-12-17 16:44:59.999000,19447.76,19493.29,19380.11,19423.0,1283235.18440842,66.067896
2017-12-17 16:45:00,2017-12-17 16:59:59.999000,19427.0,19427.0,19200.0,19241.98,2290115.07943324,118.708369
2017-12-17 17:00:00,2017-12-17 17:14:59.999000,19241.98,19300.94,19185.01,19269.99,1508988.75083348,78.449093
2017-12-17 17:15:00,2017-12-17 17:29:59.999000,19269.99,19420.99,19250.0,19400.08,1833575.60124723,94.937168
2017-12-17 17:30:00,2017-12-17 17:44:59.999000,19420.99,19460.05,19336.58,19395.0,1585069.07227036,81.641683
2017-12-17 17:45:00,2017-12-17 17:59:59.999000,19394.27,19533.04,19394.27,19528.0,1408078.39915117,72.36578
2017-12-17 18:00:00,2017-12-17 18:14:59.999000,19528.0,19533.04,19419.01,19443.1,1399333.16777906,71.850087
2017-12-17 18:15:00,2017-12-17 18:29:59.999000,19443.1,19540.03,19420.01,19537.26,2293935.63421545,117.676075
2017-12-17 18:30:00,2017-12-17 18:44:59.999000,19506.99,19540.04,19480.01,19529.99,1268685.85032639,65.010388
2017-12-17 18:45:00,2017-12-17 18:59:59.999000,19529.99,19590.0,19490.01,19590.0,1742113.18257685,89.098221
2017-12-17 19:00:00,2017-12-17 19:14:59.999000,19586.0,19680.0,19552.63,19577.02,1437931.67432321,73.302047
